Class,Subject,Stream,Question,A,B,C,D,CorrectAns,Difficulty,Timelimit,Marks,studentAns,IsCorrect,Timetaken,Timediff,MarksObt
9,Gk,None, In which Indian state is Chauri Chaura village located?,Uttar Pradesh,Bihar,Rajasthan,Punjab,A,Medium,12,2,A,Yes,8,4,1
9,Gk,None,Who is the current Prime Minister of India?,Narendra Modi,Rahul Gandhi,Manmohan Singh,Arvind Kejriwal,A,Easy,12,1,A,Yes,6,6,1
9,Gk,None,What is the currency of Japan?,Yen,Yuan,Euro,Rupee,A,Easy,12,1,C,No,7,5,-0.5
9,Gk,None,Who is the author of the Harry Potter book series?,J.K. Rowling,Stephen King,Dan Brown,Agatha Christie,A,Medium,12,2,A,Yes,8,4,1
9,Gk,None,Which country hosted the 2016 Summer Olympics?,Brazil,Russia,Japan,United States,A,Medium,12,2,B,No,6,6,-0.5
9,Gk,None,Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Albert Einstein,A,Hard,12,3,A,Yes,5,7,1
9,Gk,None,What is the largest ocean in the world?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,A,Hard,12,3,D,No,8,4,0
9,Gk,None,What is the national animal of India?,Bengal Tiger,Lion,Elephant,Panda,A,Easy,12,1,A,Yes,7,5,1
9,Gk,None,"Who painted the famous artwork ""The Starry Night""?",Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Michelangelo,A,Easy,12,1,B,No,6,6,-0.5
9,Gk,None,What is the largest desert in the world?,Sahara Desert,Gobi Desert,Atacama Desert,Mojave Desert,A,Medium,12,2,A,Yes,6,6,1
9,Gk,None,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,A,Medium,12,2,C,No,6,6,-0.5
9,Gk,None,"Who wrote the famous novel ""Pride and Prejudice""?",Jane Austen,William Shakespeare,F. Scott Fitzgerald,Charles Dickens,A,Hard,12,3,A,Yes,8,4,1
9,Gk,None,What is the largest waterfall in the world?,Angel Falls,Niagara Falls,Victoria Falls,Iguazu Falls,A,Hard,12,3,B,No,7,5,0
9,Gk,None,Who is the founder of Microsoft?,Bill Gates,Steve Jobs,Mark Zuckerberg,Larry Page,A,Easy,12,1,A,Yes,8,4,0.5
9,Gk,None,What is the tallest mountain in the world?,Mount Everest,Mount Kilimanjaro,Mount Fuji,Mount McKinley,A,Easy,12,1,C,No,7,5,-0.5
9,Gk,None,"Who painted the famous artwork ""The Last Supper""?",Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,A,Medium,12,2,A,Yes,6,6,1
9,Gk,None,Which country is known as the Land of the Rising Sun?,Japan,China,India,South Korea,A,Medium,12,2,D,No,5,7,-0.5
9,Gk,None,Who discovered gravity?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,A,Hard,12,3,B,No,4,8,0
9,Gk,None,What is the largest continent in the world?,Asia,Europe,Africa,North America,A,Hard,12,3,A,Yes,6,6,1
9,Gk,None,What is the national bird of Australia?,Emu,Kiwi,Peacock,Penguin,A,Easy,12,1,C,No,5,7,-0.5
9,Gk,None,"Who painted the famous artwork ""The Scream""?",Edvard Munch,Pablo Picasso,Vincent van Gogh,Salvador Dali,A,Easy,12,1,A,Yes,6,6,1
9,Gk,None,What is the capital city of Canada?,Ottawa,Toronto,Vancouver,Montreal,A,Medium,12,2,B,No,5,7,-0.5
9,Gk,None,Which country is famous for the Great Barrier Reef?,Australia,Brazil,Mexico,Egypt,A,Medium,12,2,A,Yes,6,6,1
9,Gk,None,"Who wrote the famous play ""Romeo and Juliet""?",William Shakespeare,Oscar Wilde,Tennessee Williams,Arthur Miller,A,Hard,12,3,C,No,7,5,0
9,Gk,None,What is the largest animal in the world?,Blue Whale,African Elephant,Giraffe,Polar Bear,A,Hard,12,3,A,Yes,8,4,1
9,Gk,None,"Who composed the famous symphony ""Symphony No. 9""?",Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Pyotr Ilyich Tchaikovsky,A,Easy,12,1,B,No,7,5,-0.5
9,Gk,None,What is the national flower of Japan?,Cherry Blossom,Rose,Lily,Lotus,A,Easy,12,1,A,Yes,8,4,0.5
9,Gk,None,Which country is known for the Taj Mahal?,India,China,Egypt,Greece,A,Medium,12,2,D,No,7,5,-0.5
9,Gk,None,Who discovered electricity?,Benjamin Franklin,Isaac Newton,Thomas Edison,Albert Einstein,A,Medium,12,2,A,Yes,6,6,1
9,Gk,None,What is the official language of Brazil?,Portuguese,Spanish,French,Italian,A,Hard,12,3,B,No,7,5,0
9,Gk,None,What is the largest island in the world?,Greenland,Madagascar,Borneo,New Guinea,A,Hard,12,3,A,Yes,5,7,1
9,Gk,None,"Who painted the famous artwork ""Mona Lisa""?",Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Salvador Dali,A,Easy,12,1,C,No,7,5,-0.5
9,Gk,None,What is the capital city of Australia?,Canberra,Sydney,Melbourne,Brisbane,A,Easy,12,1,A,Yes,6,6,1
9,Gk,None,"Who is the author of the book ""To Kill a Mockingbird""?",Harper Lee,J.R.R. Tolkien,George Orwell,Ernest Hemingway,A,Medium,12,2,B,No,8,4,-0.5
9,Gk,None,Which country is famous for the pyramids?,Egypt,Greece,China,Italy,A,Medium,12,2,A,Yes,4,8,1
9,Gk,None,"Who painted the famous artwork ""The Persistence of Memory""?",Salvador Dali,Claude Monet,Pablo Picasso,Vincent van Gogh,A,Hard,12,3,D,No,5,7,0
